Text,Label,OriginalLabel,PredictedLabel,Mean,Std,EditedStd
QUQU 크린숨 마스크 강추 KF94마스크가 많이 나와있어서 검색해 봤는데 사이즈나 질 면 가격 모두 만족합니다 숨쉬기 편하고 입술이 마스크에 붙지도 않고 피부가 가렵거나 하지도 않아요 직원들과 나눠쓰려고 샀어요,,0.0,0.0,"[6.132900238037109, -3.2606256008148193, -2.765345811843872]","[0.1847827434539795, 0.15193605422973633, 0.15252326428890228]","[0.032846689224243164, 0.0, 0.0005872100591659546]"
아기 피부가 닿는 안쪽면이 너무 부드럽고 좋아요~ 보풀이 나지않는 재질이라 가렵거나 하는것도 없을거 같아 너무 맘에 듭니다~ 미세하게 큰데 이정도도 감지덕지에요~! 늘 끈을 묶어줬었는데 드디어 딱맞는 제품이 ㅎㅎ,,0.0,0.0,"[6.025806903839111, -3.6318137645721436, -2.241997718811035]","[0.16572315990924835, 0.15211719274520874, 0.15020081400871277]","[0.015522345900535583, 0.0019163787364959717, 0.0]"
사이즈가 잘못와서 교환하느라 오래걸렸지만 너무 예뻐요오 ㅠㅠㅠ 남자친구 생일선물로 사줬는데 m이 딱 깔끔하게 예쁘네요! 키는 184/78 입니다!! L도 맞긴한데 더 어벙한 느낌? 깔끔한 느낌 원하시면 m하세용!,,0.0,0.0,"[5.878971099853516, -3.089958429336548, -2.7529914379119873]","[0.15655148029327393, 0.15571638941764832, 0.17214107513427734]","[0.0008350908756256104, 0.0, 0.01642468571662903]"
"강아지가 6kg 정도 나가서 아침 3개, 저녁 3개 줘야하는데 사실 아침에 3개 주고 저녁에는 잊고 주지 못하는 떄가 더 많았어요 ㅠ 그럼에도 불구하고 눈물이 정말 많이 줄었어요 ㅎㅎ 꾸준히 재구매하는 상품입니당",,0.0,0.0,"[6.193704605102539, -3.3094282150268555, -2.728872776031494]","[0.19510617852210999, 0.14457257091999054, 0.16418984532356262]","[0.050533607602119446, 0.0, 0.019617274403572083]"
고구마 정말 크기도 좋고 예쁘게 생겼어요. 수확하고 키우시느라 고생하셨습니다. 다만 썩은 것을 두개나 주셨네요.  이것은 포장하시는 분이 고구마가 썩은 것을 구별하지 못한것 같아요. 저는 보자 마자 알았는데...,,0.0,0.0,"[5.9102630615234375, -3.880186080932617, -1.9379844665527344]","[0.18188560009002686, 0.1521046906709671, 0.17912067472934723]","[0.029780909419059753, 0.0, 0.027015984058380127]"
베니하루카는 군고구마나 튀김 해먹으면 꿀맛이라 무조건 특상 이상으로 주문하는데 햇고구마는 쪄먹으려고 일부러 작은거 주문했어요! 아이들 간식으로 먹기 딱 좋은 사이즈에요~ 안먹어보고 리뷰 써도되는 김의준 고구마❤️,,0.0,0.0,"[6.025331497192383, -3.8071422576904297, -2.0968472957611084]","[0.1694900542497635, 0.16379950940608978, 0.17822454869747162]","[0.005690544843673706, 0.0, 0.014425039291381836]"
"상품은 색깔도 너무예쁘고 튼튼해보이고 넘좋으네요..
그런데 캐리어만 배달된게아니라 바퀴벌레 죽은거와 함께와서 너무 놀라고 소름끼쳤네요..당장 일요일에출국해야해서 그냥쓰지만 꼼꼼하게 검수해서 보내주심좋을거같아요..",,0.0,0.0,"[6.07472038269043, -3.62630033493042, -2.335205554962158]","[0.19634230434894562, 0.14374656975269318, 0.16246448457241058]","[0.05259573459625244, 0.0, 0.018717914819717407]"
대학로 연극 너무 오랜만에 보았는데 연극이 너무 웃기고 재미있었어요~ 보는내내 웃음이 멈추질 않아서 배가 너무 아팠어요😁특히 1인다역 하시는 이진호배우님이 너무 입담도 좋았어요😄대학로 커플 데이트 강력추천💕,,0.0,0.0,"[6.035623550415039, -3.363773822784424, -2.616234540939331]","[0.17521725594997406, 0.15600362420082092, 0.153370201587677]","[0.021847054362297058, 0.002633422613143921, 0.0]"
연극은 너무너무너무 재미있었는데좌석배치가 너무 아쉽네요 ㅠ 후기엔 한좌석씩 띄어서 앉았다고 했는데 너무 빼곡하게 꽉찬 상태로 연극을 봐서 코로나걱정 때문에 초반엔 집중하기가 어려웠습니다 숨도 답답하기도 했구요 ㅠ,,0.0,0.0,"[5.987520694732666, -3.6885826587677, -2.3179683685302734]","[0.19224976003170013, 0.16835211217403412, 0.15840016305446625]","[0.03384959697723389, 0.009951949119567871, 0.0]"
그동안 어린이 뮤지컬만 봐왔던 아이가 코미디 공연을 소극장에서 처음으로 봤는데요. 공연 시작부터 끝까지 박수치며 너무너무 좋아하고 웃고 재미있어하네요. 저도 옆에서 행복해하며 재밌게 잘 봤습니다~^^ 감사합니다~,,0.0,0.0,"[6.055547714233398, -3.500222682952881, -2.4971981048583984]","[0.1795484572649002, 0.16849753260612488, 0.1498897820711136]","[0.02965867519378662, 0.01860775053501129, 0.0]"
"배송도 빨랐고 생각했던것보다도 훨씬 더 질도 좋고 핏도 예쁘네요~! 결혼식 갈때 입으려고 샀는데 괜찮은거같아요!
169 기준 정강이정도까지 촤르르 길게 내려와서 예쁘네요! 어깨패드랑 소매끝 부분도 마음에 듭니다~",,0.0,0.0,"[6.02321720123291, -3.4391143321990967, -2.5920064449310303]","[0.17025263607501984, 0.16210129857063293, 0.17168071866035461]","[0.008151337504386902, 0.0, 0.00957942008972168]"
고급스럽게 이뻐요 :))컬러는 약간 차분하고 카키스러운베이지 같은 색상인데 가을에 입기 이쁜컬러에요 ! 찰랑거리는 소재라 지금부터 입을수잇겟어용ㅋㅋ 벨트는 너무두꺼운거같아 얇은걸루 했는데 다 잘어울리는거같네용ㅎㅎ,,0.0,0.0,"[6.073124885559082, -3.671989679336548, -2.389988899230957]","[0.16140499711036682, 0.15527686476707458, 0.16962601244449615]","[0.006128132343292236, 0.0, 0.01434914767742157]"
급하게 사게 됐어요 신랑이 이게 젤 좋다며 골라줘서 신랑이랑 저랑  각각 한개씩 구매해서 무료 장착까지 해주셔서 아주 잘 쓰고 있습니다 품질도 좋고 충격센서도 아주 마음에 드네요 이저씨도 친절하시고. 많이 파세욜,,0.0,0.0,"[6.148313999176025, -3.4479455947875977, -2.5885403156280518]","[0.17895616590976715, 0.14927737414836884, 0.14999806880950928]","[0.029678791761398315, 0.0, 0.0007206946611404419]"
아이나비최신 FXD7500블랙박스를 저렴하게 구입하였는데 GPS도 주시고 무료장착권도 상품에 함께 포장되어 빠르게 배송되어 도착했습니다주말이라서 장착은 못했지만 구입하신분들의 상품평이 좋아서 작동잘할거라고믿어요.,,0.0,0.0,"[6.175581455230713, -3.584745407104492, -2.468353509902954]","[0.15401574969291687, 0.14380013942718506, 0.14887911081314087]","[0.010215610265731812, 0.0, 0.0050789713859558105]"
피부에 처음 닿았을때 약간 시원한 느낌이구 실키하게 부드럽게 발려요~발랐을때 피부번들거리거나 광나게 유분기나는건 아니지만 만졌을땐 실키한 벨벳느낌으로 완전 보송한건 아니에요~외출시 간단하게 후딱 잘바를거 같아요~,,0.0,0.0,"[6.087854385375977, -3.664060592651367, -2.284256935119629]","[0.16484862565994263, 0.14814527332782745, 0.17528729140758514]","[0.016703352332115173, 0.0, 0.02714201807975769]"
잘 받았습니다바르는 면이 둥그렇게 되서 바르기 좋으네요타사 제품 일자로 된것보다는 한결 좋습니다바르는 즉시 청량감이 느껴져서 더 좋았구요휴대하기도 간편하고역시 제약회사 제품이라 만족해요다음에 또 구매의사 있습니다,,0.0,0.0,"[5.961325645446777, -3.132896661758423, -2.8311078548431396]","[0.19447332620620728, 0.15029115974903107, 0.18768829107284546]","[0.04418216645717621, 0.0, 0.03739713132381439]"
"이사날짜가 급정해져 급주문했는뎅, 바로배송가능한걸로 주문했더니 진짜 빨왔어요ㅋ 가격이 저렴한편이라 걱정했는데 생각보다 괜찮구요~~기사님 잘설치해주시고, 설명도 친절하시고.. 굿굿. 한가지 화질이조금 아쉬운정도ㅋ",,0.0,0.0,"[6.058200836181641, -3.5428357124328613, -2.46907114982605]","[0.16882728040218353, 0.1467558741569519, 0.16200470924377441]","[0.02207140624523163, 0.0, 0.01524883508682251]"
기존에 쓰던 티비가 수명이 다되서 찾던중에 여기가 리뷰도 많고 그래서 구매했는데아주 만족합니다ㅎㅎ 화면도 크고 좋네요배송도 빠르고 상품도 아주 마음에듭니다설치하러 오신 삼성 기사분도 정말 친절하시고잘 쓰겠습니다,,0.0,0.0,"[5.8664469718933105, -2.8107199668884277, -3.0819756984710693]","[0.14062334597110748, 0.15942911803722382, 0.17223890125751495]","[0.0, 0.018805772066116333, 0.03161555528640747]"
아에르.어드밴스드 라이트 s 80썼는데 총학교 입학하니 94 만 쓰라고 해서 알아보다가 사이즈 보려고 10개만 주문했는데 코 부분이 살짝 튼감이 있긴한데 코지지대 눌러주면 얼추 맞아용 귀 부분은 편하다고 합니다,,0.0,0.0,"[6.062732696533203, -3.547006130218506, -2.409276008605957]","[0.18056100606918335, 0.16961506009101868, 0.1584077924489975]","[0.022153213620185852, 0.01120726764202118, 0.0]"
얼굴이 작지않은 남자가 쓰기엔 세로길이가 마니길지않아서 볼까지 다감싸주진못해도 써보니 공간이 충분해서 LF94치곤 많이 답답하지도 않고 일단 오래쓰고있어도 귀가 아프지않아서 좋네요가격도 저렴하니 아주잘산거같아요,,0.0,0.0,"[5.957877159118652, -3.6832144260406494, -2.1084799766540527]","[0.14558815956115723, 0.1500757336616516, 0.16508418321609497]","[0.0, 0.004487574100494385, 0.019496023654937744]"
이날씨에 입음 좀 추울까 했는데 안에 니트입고 입으면 괜찮더라구요ㅎL시켰는데 좀 커서 왠만한 남성분들은 M이면 충분히 이쁜핏으로 입으실것 같아요. 재질도 탄탄하고 이가격에 이퀄리티면 아주 만족스러운 구매였습니당,,0.0,0.0,"[5.989749908447266, -3.5111892223358154, -2.4216861724853516]","[0.17657214403152466, 0.15028314292430878, 0.14651073515415192]","[0.03006140887737274, 0.0037724077701568604, 0.0]"
약국에서 개당 1500원에 사서 썼었는데 대형에 줄도 길어서 일하는 내내 껴도 귀도 안아프고 너무 좋아서 인터넷 칮아보니 싼값에 있길래 샀습니다 . 역시 좋네요 마스크 두께도 다른 마스크에 비해 두꺼워서 좋아요,,0.0,1.0,"[1.4701167345046997, 1.5053895711898804, -3.9009954929351807]","[0.1580226570367813, 0.12956085801124573, 0.1788536161184311]","[0.028461799025535583, 0.0, 0.049292758107185364]"
노견이라 관절에 도움을 줄 수 있을까해서 구입했어요 딱딱하면 어쩌나 했는데 말랑말랑하기도 하고 울 댕댕이가 잘 먹네요 ㅎ 성분도 좋은데다가 개별 포장이 되어 있어서 더 좋네요 맛도 있는지 간식마냥 잘 먹어요 ㅎ,,0.0,0.0,"[5.991523265838623, -3.71232271194458, -2.2339413166046143]","[0.16941818594932556, 0.1644393503665924, 0.16308671236038208]","[0.0063314735889434814, 0.0013526380062103271, 0.0]"
"냥이 관절 영양제를 먹이고 싶었는데 입맛이 까다로워 안먹을까봐 걱정했는데 거부감없이 잘먹네요~
낱개 포장되어있어서 먹이고 관리하기 편하고 
딱딱하지 않고 말랑거려 잘 먹네요~~
다먹이면 또 구매해서 먹여야겠어요",,0.0,0.0,"[6.1165618896484375, -3.4820120334625244, -2.555488348007202]","[0.14884981513023376, 0.1651052087545395, 0.1447668820619583]","[0.004082933068275452, 0.020338326692581177, 0.0]"
"계속 꾸준히 잘 먹고 있어요 덕분에 수술까지 가는 일은 없기를 바라는 마음으로 잊지않고 급여해요
서울 동생네 가는 일정 중에 똑 떨어져서 동생네로 배송했는데 총알 배송해주셔서 바로 급여 가능해서 기분이 좋았어요",,0.0,0.0,"[6.0002288818359375, -3.5550529956817627, -2.3930869102478027]","[0.16398988664150238, 0.1597156524658203, 0.15819741785526276]","[0.005792468786239624, 0.0015182346105575562, 0.0]"
받자마자 구워먹었는데 너무 맛있어요 작은 사이즈인데도 밤이 전체적으로 꽉차게 들어있고 식감이 팍팍하고 포슬포슬해서 좋아요 당도는 낮은 듯하지만 원하던 햇밤고구마예요 배송도 빠르고 고구마 품질고 좋고 만족합니다~,,0.0,0.0,"[5.962130069732666, -3.82938289642334, -1.9710187911987305]","[0.17458565533161163, 0.17146076261997223, 0.15429028868675232]","[0.020295366644859314, 0.01717047393321991, 0.0]"
"여러번 주문해서 먹어봣습니다.
이번에도 맛잇을거라 생각됩니다.
어제 저녁에 도착했는데 아직 맛은 못받습니다,
그런데  배송중 박스가 찍으러지고 고구마도 몇개 부러졋습니다.
배송중 실수인거 같아서 좀 마음상합니다",,0.0,0.0,"[6.046157360076904, -3.526737928390503, -2.409534215927124]","[0.16455088555812836, 0.15606066584587097, 0.15624937415122986]","[0.008490219712257385, 0.0, 0.00018870830535888672]"
일단 예뻐요아이보리 보다는 그레이지에 가까운데 오히려 고급스러워 보입니당작은 캐리어치고 가격이 있다 싶었는데 휠 굴러가는게 너무 부드럽고 안쪽 커버가 비닐처럼 싸구려재질 아니구 적당해서 가격값 한다고 생각해요!,,0.0,0.0,"[6.121853828430176, -3.41685152053833, -2.633305072784424]","[0.18198731541633606, 0.17725419998168945, 0.17513525485992432]","[0.006852060556411743, 0.0021189451217651367, 0.0]"
사진처럼 튼튼하고 마감도 꼼꼼해서 만족스럽습니다!하드케이스는 그렇지 않은데 비해 수납력이 좀 떨어진다고 생각했었는데이 상품은 수납력이 좋네요!여행 다닐 때 친정에갈 때 애기 짐가방으로 좋아요 아주 좋아요!!^^,,0.0,0.0,"[5.993884086608887, -3.669506549835205, -2.2367372512817383]","[0.17984279990196228, 0.14670637249946594, 0.1764599084854126]","[0.03313642740249634, 0.0, 0.029753535985946655]"
스토리도 최고 배우분들 연기력이나 순발력도 최고 ❤️❤️ 인생 첫 연극인데 너무 재밌게 보고 와서 기분 좋은 하루 였어요 !! 연극의 매력을 알게 해준 시간 이였고 특별한 추억을 만들 수 있어서 좋았습니다 :),,0.0,0.0,"[6.1331467628479, -3.616832971572876, -2.383878231048584]","[0.17334093153476715, 0.15911944210529327, 0.1526876538991928]","[0.02065327763557434, 0.006431788206100464, 0.0]"
배우님들 연기도잘하시고 이뿌고 잘생기셨어요..심쿵쓰엄청 웃으면서 봤어요! 몰입도 최고 남자친구가 처음연극보는거라 어떤반응 보일까했는데 재밌었다고 사진을 저렇게찍어서 보내주네요 하하 또 보러갈게요 배우님들 화이팅,,0.0,0.0,"[6.006314754486084, -3.7518310546875, -2.141317129135132]","[0.1610245704650879, 0.14354898035526276, 0.18028971552848816]","[0.017475590109825134, 0.0, 0.0367407351732254]"
아이들과 웃으며 좋은시간 가졌어요.한가지 언짢았던건 중간에 프로포즈 이벤트에 내돈주고 공연보러가서 생판모르는 사람한테 박수쳐주고 축하해줘야 하는지 모르겠네요. 분량도 꽤많이 차지하더라고요. 이해할수 없었습니다.,,0.0,0.0,"[5.763626575469971, -2.551569700241089, -3.287033796310425]","[0.18011493980884552, 0.1635124534368515, 0.15893900394439697]","[0.021175935864448547, 0.004573449492454529, 0.0]"
나와함께 공부하는 경북 상주시 교육생들의 문화체험을 위해 20명 단체로 관람했는데. 만족도 퍼팩트! 다들 즐겁고 행복했다고 합니다. 특히 결혼한지 20년을 넘겨  리마인드프로포즈 기회도 강제?로 얻는 추억까지.,,0.0,0.0,"[5.6666364669799805, -2.511739492416382, -3.3088457584381104]","[0.14937172830104828, 0.1435866802930832, 0.15602515637874603]","[0.005785048007965088, 0.0, 0.012438476085662842]"
"156센치 임산부에요 

진짜 이거 쵝오에요♡ 유니폼되오버렸으요

길이는 발목에서 올라가는 정도?? 끌리는 정도는

아니그요 이쁘게 떨어지는 길이에요

건조기넣었더니 조오금 줄긴햇지만 키작맘에겐

완전 딱이에요",,0.0,0.0,"[6.099476337432861, -3.507249116897583, -2.459526777267456]","[0.17932887375354767, 0.15163539350032806, 0.18283867835998535]","[0.027693480253219604, 0.0, 0.031203284859657288]"
정말출장기사님이 장착도빨랐으며 배송도 다음날아침에바로오고 제품에대해서도 너무만족합니다 고장나게되면재구매하겠습니다!!제품에대해 사용법도 정말편하며 해상도도 이만한가성비는없다생각듭니다 구매하시려는분들 대박추천드려요,,0.0,0.0,"[6.1127119064331055, -3.311910629272461, -2.6410791873931885]","[0.174250990152359, 0.16053512692451477, 0.16055132448673248]","[0.013715863227844238, 0.0, 1.6197562217712402e-05]"
"딱 가격만큼 하는듯합니다. 충격감지는 이상한 포인트에서 인식하고 (불량아닌가 싶을정도로)배터리는 전압설정만 있고, 절전모드가 되지 않아서 생각보다 많이 배터리를 소모합니다. 보조배터리있으면 나쁘진 않을듯하네요.",,0.0,0.0,"[5.9877238273620605, -3.09329891204834, -2.9251372814178467]","[0.18364903330802917, 0.17274203896522522, 0.1499982625246048]","[0.03365077078342438, 0.022743776440620422, 0.0]"
블랙박스를 알아보던 중에 아이나비 쇼핑라이브를 진행한다는 소식을 듣고 방송을 보고 바로 구입하였습니다.미니라서 사이즈도 적당하고 전후방 화질이 깨끗하고 선명합니다.64기가로 구매하여 저장공간도 넉넉하고 좋습니다,,0.0,0.0,"[6.088932991027832, -3.610393762588501, -2.349224328994751]","[0.1791711151599884, 0.1536775827407837, 0.15516699850559235]","[0.025493532419204712, 0.0, 0.0014894157648086548]"
외관상으로 하자 없는 물건 빠른 배송으로  왔구여 지금 장착기사님 오셔서  장착서비스 받았습니다기존 사용하던 제품이  오래되서 녹화만 되던게신형이라고 기능들이 많이  늘어서  약간에 공부는 필요 할것 같습니다.,,0.0,0.0,"[6.080467700958252, -3.4424028396606445, -2.595724582672119]","[0.17200031876564026, 0.15381476283073425, 0.1670735478401184]","[0.018185555934906006, 0.0, 0.013258785009384155]"
"배송 빠른편이구요 , 물줄때 흙이넘치는게없어서 조으네용 ㅋㅋ식물파는곳에같이안팔아서 하나사고 탣배비가아깝지만 필요한거라서 삿어용<이케아꺼하나있는데부족해서> 물은 15cm 화분 한번듬뿍 주면 다시받아야하는 정도에요",,0.0,0.0,"[6.1437087059021, -3.3541746139526367, -2.7033298015594482]","[0.16946455836296082, 0.15487077832221985, 0.16096830368041992]","[0.014593780040740967, 0.0, 0.006097525358200073]"
여행갔다올때 도움이 되었어요 한번에 쭉 빠지지않고 천천히나오더라고요 특히나 테라스에 둔 유칼립투스에 꽂아둔게 좋더라고요 물 조금만 말려서 잎 살짝이라도 마르는 순간 후두두둑 … 얘덕에 이번해는 그럴일이 없었어요,,0.0,0.0,"[6.143657207489014, -3.5585451126098633, -2.457944631576538]","[0.1608409732580185, 0.13755005598068237, 0.17654603719711304]","[0.02329091727733612, 0.0, 0.038995981216430664]"
"아무 페트병이나 맞는줄 알았는데 500미리 생수병은 거의 안맞구요 콜라, 사이다, 음료수 등 기타 페트병에는 잘 맞아요. 아이들이 쓰는 거면 누르는 힘이 적어서 페트병이 너무 두꺼우면 물이 잘 나오지 않습니다.",,0.0,0.0,"[6.096728324890137, -3.415220260620117, -2.557814121246338]","[0.14968717098236084, 0.16126492619514465, 0.1778148114681244]","[0.0, 0.011577755212783813, 0.02812764048576355]"
"일단 남자 사용자 입니다
사용했을때 끈적거림과 백탁현상은 거의 없어서 만족하고 
다만 일반시에는 말고 운동 할때 바르니 땀때문에 그런지 건조해지면서 하얀가루처럼 생깁니다 일반적으로 평상시에 바르기에는 만족합니다",,0.0,0.0,"[6.089885711669922, -3.739203453063965, -2.2462379932403564]","[0.16056489944458008, 0.1461845487356186, 0.13353508710861206]","[0.027029812335968018, 0.01264946162700653, 0.0]"
"구매만족해서 벌써 여럿 지인들께 추천했어요 
일단 사이즈가 커서 좋고, 발림성도 좋아요 
톤보정은 하얗게 뜨지않고 촉촉하게 밀착되서 자연스럽게 살짝 톤정리가 되구요 커버력이 없기때문에 톤업크림 바르고 있습니다.",,0.0,0.0,"[5.945489883422852, -3.16947603225708, -2.765040397644043]","[0.15356098115444183, 0.1457958072423935, 0.16656965017318726]","[0.00776517391204834, 0.0, 0.020773842930793762]"
11월22일 주문후 베트남 배송이 코로나때문에 오래 걸려서 오늘 12월6일 도착했어요 구매시 판매자분이 공지한 내용이라 인지하고 견뎠는데 수요일 보다 2틀일찍 왔어요 화질도 좋고 가족이 직접 찍어서 보내줬어요,,0.0,0.0,"[6.049004077911377, -3.5077784061431885, -2.4355292320251465]","[0.17176572978496552, 0.1628456562757492, 0.15894253551959991]","[0.0128231942653656, 0.003903120756149292, 0.0]"
주문후 3일후 기사님이 직접 방문해서 설치해주셨어요~얇고 크고 색감도 다 좋네요프레임이 얇아서 화면이 더 커보여요스마트티비라 기능도 많구요~고장난 티비까지 수거해주시네요~~삼성TV 오래오래 잘 시청할께요~~♡,,0.0,0.0,"[6.015506744384766, -3.2549867630004883, -2.745060443878174]","[0.16693279147148132, 0.177472323179245, 0.16091306507587433]","[0.006019726395606995, 0.016559258103370667, 0.0]"
색상도 예쁜데 가격이 저렴하기까지하니 좋네요.천사 모양이라 애들도 좋아하해요.기존에 쓰던 마스크보다 세로는 짧은 편이고가로는 더 기네요.콧대가 낮아서 그런지 코부분이 살짝들떠요ㅠ 그래도 이 가격에 만족합니다.,,0.0,0.0,"[6.0590949058532715, -3.147665500640869, -2.815589189529419]","[0.16399212181568146, 0.14800623059272766, 0.139779731631279]","[0.024212390184402466, 0.00822649896144867, 0.0]"
얼큰이라 이 마스크만 삽니다. 얼굴 작은사람은 비춥니다. 얼굴 반 가려요. 살짝 얇은 감은 있지만 부드럽고 착용감 좋아요. 오래 착용하면 귀가 좀 댕기는건 있어요. 물론 밀착되어야 밀폐 실내에선 보호 되겠죠~,,0.0,0.0,"[5.952518463134766, -3.3818094730377197, -2.403218984603882]","[0.17872510850429535, 0.15592138469219208, 0.16822390258312225]","[0.02280372381210327, 0.0, 0.012302517890930176]"
일단 색상이 너무 예쁘고 두께감도 kf94인데도 얇아서 괜찮더라구요~타마스크 소형보다는 사이즈가 좀 커서 더 좋았어요~ㅎ6세 아이도 불편해하지 않고 잘 써요~가로 길이가 다른 소형마스크보다 길어서 좋아요~ㅋㅋ,,0.0,0.0,"[6.12192440032959, -3.1018545627593994, -2.973288059234619]","[0.18829882144927979, 0.15345662832260132, 0.14998462796211243]","[0.03831419348716736, 0.0034720003604888916, 0.0]"
"이렇게 얇은데도 KF94의 기능을 가진다고 하니 놀랍네요. 얇아서 여름에 착용하기 적절하긴 한데, 사람 많은 곳을 방문해야 할 곳에서는 아무래도 불안해서 여전히 4중구조의  airdays를 착용하고 있습니다.",,0.0,0.0,"[5.958837985992432, -3.763113498687744, -2.073272466659546]","[0.17002665996551514, 0.16277626156806946, 0.17268253862857819]","[0.007250398397445679, 0.0, 0.009906277060508728]"
키 180에 85키로 배가 약간 있는 체형인데 52사이즈 잘 맞아요 평소 105사이즈 착용합니다. 팔이 약간 길긴하나 전체적으로 잘 맞는 것 같아요 배송도 빠르고 판매자님이 응대도 빠르게 해주셔서 만족합니다.,,0.0,0.0,"[5.803834915161133, -2.6629486083984375, -3.2573506832122803]","[0.17661155760288239, 0.1463499814271927, 0.15356804430484772]","[0.030261576175689697, 0.0, 0.007218062877655029]"
