ClusterIdx,PredictedLabel,TextLength,Std,Text,Mean
1,0,21,"[0.11153694242238998, 0.08417560905218124, 0.09245336055755615]",사이즈도 딱이고 귀엽고 넘 좋아요 ㅎㅎ,"[5.822105884552002, -3.5751452445983887, -4.2888593673706055]"
2,1,23,"[0.0991034209728241, 0.07827415317296982, 0.11379013955593109]",베이지 색 구매했는데 약간 살색에 가까워요,"[-0.04812071472406387, 3.942228317260742, -4.5185089111328125]"
2,1,35,"[0.15184906125068665, 0.09602334350347519, 0.16060011088848114]",화면빨인가봐요;; 노란컬러가 돋보여요;; 저렴한맛에 그냥 씁니다,"[-2.91530704498291, 5.993988513946533, -2.9773809909820557]"
1,0,54,"[0.10207054764032364, 0.08265114575624466, 0.0918438509106636]",별루 ㅏㅛㅇ치ㅗ티ㅓ치ㅗ탛캏타ㅗ티ㅗ티ㅗ티ㅛ티ㅛ티ㅗㅗㅗ치ㅕ치ㅕ쳐ㅣ처ㅣ치ㅓ처ㅣ펴ㅣ쳐ㅣ치ㅕㅐㅛㅌ쵸ㅔ려ㅔㅎ,"[5.816751480102539, -3.578346014022827, -4.280986785888672]"
1,0,20,"[0.1032349094748497, 0.08257005363702774, 0.08776840567588806]",촉감도 좋고 무게감이나 핏도 편합니다,"[5.877687931060791, -3.5118248462677, -4.439055919647217]"
1,0,18,"[0.10177178680896759, 0.07917246967554092, 0.09166523069143295]",불멍하기좋고 사이즈도 너무 좋아요,"[5.816466808319092, -3.5945796966552734, -4.280215263366699]"
2,1,20,"[0.12357136607170105, 0.10503855347633362, 0.13292771577835083]",재구매 친구들이 좋은 향 난다고 해요,"[-2.3545010089874268, 5.646757125854492, -3.2825238704681396]"
1,0,14,"[0.10467284172773361, 0.08290015161037445, 0.08990805596113205]",실내에서 신는건지 몰랐어요,"[5.907111644744873, -3.4349138736724854, -4.567800045013428]"
2,1,19,"[0.17725194990634918, 0.1183047965168953, 0.15868906676769257]",재구매 다 좋은데 하나가 이상하네요,"[-3.0230939388275146, 6.054617404937744, -2.894909620285034]"
2,1,54,"[0.1307157725095749, 0.11106577515602112, 0.1309085339307785]",가게를 운영하는 사장님께서 대신 구매 해달라고 하셔서 구매하게되었는데 가게에 달아놓으니까 이쁘네요,"[-3.140679121017456, 6.108915328979492, -2.812113046646118]"
2,1,30,"[0.1535036265850067, 0.1201753243803978, 0.15999816358089447]",가성비 괜찮습니다 바퀴가 고정된다면 별다섯개짜린데...,"[-2.4864797592163086, 5.6400885581970215, -3.12628173828125]"
2,1,53,"[0.15874961018562317, 0.11343048512935638, 0.15946027636528015]",화장이 깨끗하게 지워지지않아요 거품이생기고 오랫동안 문질러서 씻어내야하지만 세정력이 별로인듯해요,"[-3.2290749549865723, 6.160190582275391, -2.7503292560577393]"
1,0,34,"[0.0800628736615181, 0.05962646007537842, 0.09082143008708954]",남자 애들 인데 너무 좋아요 유해성분없어 초등들도 바르기좋아요,"[4.003058910369873, -0.5679590106010437, -5.467028617858887]"
0,2,113,"[0.1047360822558403, 0.07490783929824829, 0.1162162497639656]",채집통이 결착이 안됩니다. 채집통이 결착이 안되서 커터칼로 결착 부분과 모서리 부분을 깍아 냈더니 겨우 결착이 됩니다.해당 부분은 제품 불량 이슈 같구요 보내시기 전에 최소한의 테스트는 하고 보내주세요.,"[-4.299718856811523, -1.7606396675109863, 6.298366546630859]"
2,1,36,"[0.1262275129556656, 0.09427820146083832, 0.13466830551624298]",재구매 늘 사는 흙이에요 팽이들이 젤 좋아해요 빠른배송 감사합니다,"[-1.9179211854934692, 5.415553092956543, -3.601271152496338]"
2,1,88,"[0.14138056337833405, 0.09967771917581558, 0.13587242364883423]",처음 쓸때만 좋고 쓰다보니 의자뺄때 소리 계속 나요 그래서 붙이는부직포 덧붙였는데 여전히 끌리네요 비추에요 테니스공으로 살껄 이쁜거 산다고 이거 사서 후회되요,"[-3.897218942642212, 5.726966381072998, -1.6098636388778687]"
0,2,91,"[0.10848822444677353, 0.07585197687149048, 0.10440947115421295]","배송기사나, 판매하는 회사나 불친절하고 불쾌합니다. 서비스면에선 최악이네요 제품은 그럭저럭 쓸만합니다. 싼게 비지떡 마인드부터 갖추고 장사하시길바랍니다. 이익에 눈","[-4.4539899826049805, -1.4519250392913818, 6.098601818084717]"
2,1,27,"[0.10234776884317398, 0.09099333733320236, 0.1264362931251526]",저렴해서 구매 했지만 바지 완성도 떨어짐~~^^;,"[-1.6465208530426025, 5.081171989440918, -3.580967426300049]"
1,0,15,"[0.10249553620815277, 0.07487354427576065, 0.09583533555269241]",사용이 불편하고 잘빠지네요ㅜ,"[5.893818378448486, -3.541036367416382, -4.406571388244629]"
2,1,15,"[0.13649079203605652, 0.12203044444322586, 0.13300320506095886]",양은 많은데 맛은 없었습니다,"[-3.0948750972747803, 6.0661940574646, -2.8182592391967773]"
2,1,21,"[0.06641349196434021, 0.06834720075130463, 0.09323537349700928]",설치할때 전압이 넘 높아 퓨즈 나갔어여,"[1.771204948425293, 1.9553778171539307, -4.986034393310547]"
0,2,136,"[0.11229714006185532, 0.0584610179066658, 0.10705069452524185]",첨에받았을땐 너무튼튼하구 칸막이도있구 넘맘에들었는데요... 지금도맘에는들어요..근데....먼지가 먼지가 세상먼지다묻어요ㅠㅠ흑흑ㅠ 집에가만히 뒀는데도 먼지가다묻어있어요ㅠ 한번들고 그냥 모셔두었어요ㅜㅜ 까만색은 넘나비추입니다ㅠ 아이보리로살껄...ㅠ,"[-4.026401996612549, -1.7956879138946533, 6.0576558113098145]"
2,1,76,"[0.06629335135221481, 0.05301323160529137, 0.08374268561601639]","휴대폰 각이 잘 안나옴 노트9 사용 얇은 케이스 꺼도 잘 빠지지가 않네요 진짜 불편한건 각도가 조절이 너무 조금 된다는 점 입니다,,,,","[1.7594283819198608, 1.7915011644363403, -4.776878356933594]"
1,0,12,"[0.10864906758069992, 0.08613938838243484, 0.10015616565942764]",너무 생각보다 고급스럽,"[5.89990234375, -3.14217472076416, -4.865973949432373]"
2,1,57,"[0.1520286202430725, 0.12531226873397827, 0.14232897758483887]",가볍고 좋아요. 옵션에 파우치도 있었으면 얼마나 좋았을까 아쉽네요. 따로 구매 했어요. 잘 사용할께요.,"[-3.3605895042419434, 6.152469635009766, -2.607165813446045]"
2,1,64,"[0.1407337337732315, 0.11253399401903152, 0.16233716905117035]","총 4개 샀는데,사용하기 전에 부드러운 물티슈로 닦았는데,프린트가 번졌네요 교환하기가 귀찮아서 그냥 쓰지만 아쉽네요","[-3.3348705768585205, 6.160634994506836, -2.6278674602508545]"
1,0,10,"[0.1061134934425354, 0.0813581570982933, 0.09870339184999466]",모기가 않들어가요ᆢ,"[5.790609836578369, -3.5869531631469727, -4.242894172668457]"
2,1,23,"[0.13673728704452515, 0.108426533639431, 0.17129643261432648]",선물준사람도 받은사람도 모두 만족했어요^^,"[-2.8689942359924316, 5.974747180938721, -2.9879150390625]"
0,2,91,"[0.09529025852680206, 0.07902104407548904, 0.11494016647338867]",예쁘고 심플해서 샀는데. 재질이 깔끄러워요. 살에 자국 다 베이고ㅠㅠ....폭망이에요. 재대로 확인안한 제 잘못이죠;;; 참고로 싱글세트 2. 퀸세트 1 샀습니다.,"[-4.389120578765869, -1.540352463722229, 6.130776405334473]"
2,1,44,"[0.1566201150417328, 0.09730850905179977, 0.15323233604431152]",고정이 잘되기는 하는데 많이 쓰면 떡진것 처럼 보일까봐 걱정되서 많이 못쓰겠어요,"[-3.302027702331543, 6.140603065490723, -2.659153699874878]"
2,1,20,"[0.08311843127012253, 0.08517725020647049, 0.11878407746553421]",맛있어서 주문합니다. 카페갈 필요없음,"[1.0087475776672363, 3.0045576095581055, -5.006653785705566]"
2,1,139,"[0.14849676191806793, 0.11684805899858475, 0.13694271445274353]",진짜 너무하시네요 배송이늦는건 엄절수없다하고 참앗지만 밑에 서랍이 금방 안되서 AS되냐고 물어봣는데 전화도 안받고 10시에 톡을보냇는데 오후6시에 답해서 뭐하나물어보려고하니 상담시간이아니라고 뜨네요 빨리as좀 해주세요 안되면 안된다고 답장부탁드립니다,"[-2.902040481567383, 5.936784267425537, -2.9285802841186523]"
1,0,16,"[0.09646465629339218, 0.07313678413629532, 0.10009878873825073]",좋아요 색도 좋고 포근한 이불,"[5.115025520324707, -1.9085043668746948, -5.2753705978393555]"
2,1,20,"[0.1396365463733673, 0.1195661872625351, 0.1535278558731079]",네이비 색상이 조금 진한듯 하지만 굿,"[-3.0477187633514404, 6.073427677154541, -2.8648841381073]"
1,0,21,"[0.1113523468375206, 0.07889077812433243, 0.09429208189249039]",역시 기다린 보람이 있는 제품이군요!!,"[5.799508094787598, -3.5788614749908447, -4.273645401000977]"
1,0,23,"[0.09809291362762451, 0.08785830438137054, 0.0925997793674469]",퀄리티 가 좀떨어지고 손이따로노는것 같아요,"[5.845752716064453, -3.561065673828125, -4.317142486572266]"
1,0,30,"[0.0999690592288971, 0.07701226323843002, 0.10053849965333939]",약간 삐뚤게 설치되네요.. 반품 귀찮아서 그냥 씁니다.,"[5.918899059295654, -3.224088191986084, -4.808894157409668]"
2,1,37,"[0.14005205035209656, 0.12436780333518982, 0.15839502215385437]",피부 트러블 더 많이 올라와서 몸에 사용했는데 몸에도 뾰루지나네요ㅜ,"[-2.819920539855957, 5.900525093078613, -3.0116119384765625]"
0,1,107,"[0.08586858212947845, 0.05369894951581955, 0.07671558856964111]",겁나 아픈데 익숙해지면 된다길래 몇일 했더니 발에 멍들고 고통이 너무 심하고 컨디션이 더 안좋아져서 결국 패기처분 했네요. 사람마다 다르니 사기전에 신중히 결정하세요. 참고로 전 평발아닙니다.,"[-4.681047439575195, 2.424736976623535, 2.2407500743865967]"
2,1,70,"[0.13991403579711914, 0.10914383828639984, 0.13085059821605682]",아직 이유식 초기라 사용하지않았지만 후기보고 믿고 구매했습니다! 사이즈는 다양해서 너무 좋고요 실리콘재질이라 편하게 쓸거같아요,"[-3.25936222076416, 6.1574273109436035, -2.728435754776001]"
1,0,29,"[0.09937553107738495, 0.07752791047096252, 0.09654746204614639]",사이즈가 딱이에요!! 오자마자 쪄 먹엇는뎅 달디달아요,"[5.896094799041748, -3.5053822994232178, -4.477769374847412]"
1,0,16,"[0.10475052893161774, 0.08893097192049026, 0.09992732852697372]",좀뻣뻣해서 애가 좋아하질않네요,"[5.757209300994873, -2.8655686378479004, -4.963611602783203]"
2,1,42,"[0.14307035505771637, 0.12371969223022461, 0.15358354151248932]",생각보다 너무 작아서요 나중에 먼지먹는식물이나 넣어야겠어요 물건은 흠없습니다,"[-3.327460289001465, 6.169338226318359, -2.6459271907806396]"
0,2,90,"[0.11287348717451096, 0.06788612902164459, 0.11523193120956421]",세정력이 약해요. 처음사용할 땐 세제찌꺼기가 없어서 좋다고 했는데 2/3 사용해보니 너무 안씻겨요. 지멘스랑 안맞는건지.... 다시 쓰던 고체형으로 갈아탔습니다.,"[-4.222101211547852, -1.7304288148880005, 6.18410587310791]"
2,1,38,"[0.13787205517292023, 0.10881061106920242, 0.14701977372169495]",흡착력이 너무 약해요..ㅠ 식판은 잘붙는데 이거는 애기가 자꾸 떼네요,"[-3.328869104385376, 6.096411228179932, -2.6085803508758545]"
0,2,93,"[0.11312027275562286, 0.07217051833868027, 0.10446937382221222]",재구매 짱구오빠네 소개로 이용했는데 저번엔 괜찮은거 같아서 또 샀는데 기름만 엄청 오고 질겨서 다 뱉었네요.. 좋은상품주시지 고객한명 잃으셨네요 ㅠ 이제 이용안하려고요,"[-4.3357415199279785, -1.6927788257598877, 6.246429920196533]"
2,1,66,"[0.1441432386636734, 0.11566489189863205, 0.1421336680650711]",연휴때 시켯더니 연휴때 시켰더니 한달넘어서 왓네요 연락도 없고 택배회사도 연락없고 상품은 좋으나 너무 늦게와서 별로네요,"[-3.2930309772491455, 6.14387321472168, -2.7067198753356934]"
1,0,30,"[0.1106908991932869, 0.07493731379508972, 0.10067261010408401]",저번에 쓰던게 망가져서 삿는데 역시 핸들돌릴때 편하네요,"[5.9070940017700195, -3.4644391536712646, -4.513012409210205]"
1,0,13,"[0.10737596452236176, 0.07911961525678635, 0.10499759763479233]",빠른 배송과 친절한 설명,"[5.925294399261475, -3.4243295192718506, -4.592625141143799]"
1,0,8,"[0.10856075584888458, 0.08862141519784927, 0.10073202848434448]",빠른 배송 짱짱,"[5.87504768371582, -3.516916513442993, -4.409715175628662]"
1,0,12,"[0.1068643257021904, 0.085405133664608, 0.07979851961135864]",오돌뼈 최고네요.. .,"[5.827805042266846, -3.588303327560425, -4.27935266494751]"
1,0,19,"[0.09504850953817368, 0.07757087796926498, 0.09805470705032349]",안에 패드가 자꾸 빠져서 불편합니다,"[5.922731399536133, -3.441593647003174, -4.5752644538879395]"
2,0,29,"[0.06818272918462753, 0.05004963278770447, 0.09384174644947052]",재구매 가게에서 사용중입니다. 안주디피할때 이쁩니다.,"[2.250767469406128, 1.4227089881896973, -5.158115863800049]"
2,1,39,"[0.16876888275146484, 0.11763684451580048, 0.15721137821674347]",큰사이즈를 구매해서 언제 끝낼지는 모르겠지만 프린트도 선명하고 좋아요!,"[-3.2275965213775635, 6.171816349029541, -2.7655696868896484]"
1,0,14,"[0.09327613562345505, 0.07413733005523682, 0.09192761033773422]",너무예뻐요 포인트로딱이네요,"[5.820042610168457, -3.5740880966186523, -4.286235809326172]"
1,0,17,"[0.1003376692533493, 0.07552149146795273, 0.10250899195671082]",보온 기능이 짱 최고입니다 강추,"[5.944077968597412, -3.3738346099853516, -4.660271644592285]"
2,1,20,"[0.14273297786712646, 0.10723855346441269, 0.15557347238063812]",시간이 지나도 접착력이 그대로예요~~,"[-2.956071138381958, 6.0022149085998535, -2.9446985721588135]"
1,0,6,"[0.10324826091527939, 0.06848245859146118, 0.10316257178783417]",괜찮네yo!,"[5.912442207336426, -3.505413770675659, -4.458076000213623]"
1,0,14,"[0.09656281769275665, 0.0884733572602272, 0.08557171374559402]",지퍼 한번쓰고 고장남 최악,"[5.845528602600098, -3.549363374710083, -4.343143463134766]"
2,1,24,"[0.14655539393424988, 0.09956344962120056, 0.1466541439294815]",무게가 많이 나가요 연마제 닦느라 애먹었네요,"[-2.3757121562957764, 5.6690673828125, -3.2970025539398193]"
1,0,11,"[0.10820634663105011, 0.08392076194286346, 0.09896209090948105]",신중하게 선택하세요.,"[5.874059677124023, -3.5117709636688232, -4.4303879737854]"
2,1,63,"[0.14201335608959198, 0.10504144430160522, 0.17142577469348907]",가격대비 너무 허접해요..쌓아놓으니 앞으로 기울고..내구성이 5점이기에 믿고 구입했는데 생각만큼 튼튼하지는 않네요,"[-3.4939935207366943, 6.0277228355407715, -2.3426408767700195]"
2,0,29,"[0.08504369854927063, 0.06889582425355911, 0.10103631764650345]",흰색이라 깔끔하고 아기쓰는건데 재질도 좋고 부드럽네요,"[2.2557404041290283, 1.9824928045272827, -5.709649562835693]"
1,0,38,"[0.10472621768712997, 0.07750846445560455, 0.10731325298547745]",항상 애용해서 ㅋㅋㅋ리뷰남기기도뭐하네요ㅋㅋ이것만 먹어요 배송도 빨라요,"[5.93624210357666, -3.2058653831481934, -4.844839572906494]"
1,0,24,"[0.10436833649873734, 0.08172769844532013, 0.09121254086494446]",아주 편하진 않아요 밑위가 좀더길면 편할텐데,"[5.943070888519287, -3.39068603515625, -4.648935794830322]"
2,1,43,"[0.14413826167583466, 0.11720957607030869, 0.16968372464179993]",수딩젤만 바르면 오히려 더 건조해지는데 크림까지 발라주니 보습 잘 되고 좋아요,"[-3.2255752086639404, 6.170963287353516, -2.756894826889038]"
1,0,71,"[0.10162633657455444, 0.07084126770496368, 0.10819882154464722]","믿고쓰는 페넬로페^^ 세자린쓰다가 새로 나온 제품이라서 구매했어요ㅎㅎ 세자린 마지막 팩쓰고 있는데, 떨어지기 전에 도착했네요^^","[4.813535690307617, -1.4919729232788086, -5.428792953491211]"
1,0,20,"[0.1174011304974556, 0.07631775736808777, 0.10798987746238708]",실망이네요 마무리처리가 너무엉성합니다,"[5.924404144287109, -3.2557363510131836, -4.787822723388672]"
1,0,21,"[0.08985234051942825, 0.06541719287633896, 0.08823997527360916]",한사이즈 크게 시켰는데 잘 맞아요ㅋㅋㅋ,"[5.248673915863037, -1.9945148229599, -5.389955997467041]"
1,0,17,"[0.09060090035200119, 0.07856842130422592, 0.09375164657831192]",재구매 3통짼대 아주좋네요!강추,"[5.894931793212891, -3.1103365421295166, -4.895506381988525]"
2,1,43,"[0.16088928282260895, 0.10757468640804291, 0.15542618930339813]",5센치 토퍼 사용하는데 사이즈 잘 맞고 좋았아요. 배송은 좀 늦게 왔네요...,"[-3.272048234939575, 6.14608907699585, -2.7068591117858887]"
1,0,17,"[0.09988638758659363, 0.08383036404848099, 0.10136272013187408]",좋아요~ 몇번을써도괜찮은거같네요,"[5.876623153686523, -3.4937736988067627, -4.42939567565918]"
1,0,15,"[0.09683447331190109, 0.0741802528500557, 0.09762644022703171]",재구매 환불건 처리해주세요.,"[5.919343948364258, -3.392953395843506, -4.644293785095215]"
2,1,42,"[0.14025400578975677, 0.12054315209388733, 0.1585041731595993]",두께감도 적당하고 생각햇던것보다 더 괜찮아요. 다음에도 갈색으로 사야겟어요.,"[-3.325519323348999, 6.149148941040039, -2.6527717113494873]"
2,1,56,"[0.16715890169143677, 0.1104656308889389, 0.16084319353103638]",빠른 배송은 마음에 드는데 사진과 다른 증정품을 주셨네요. 변경 되었으면 미리 고지해주셨으면 합니다.,"[-3.3096413612365723, 6.151815891265869, -2.654681921005249]"
1,0,38,"[0.08533595502376556, 0.07361476868391037, 0.08802418410778046]",재구매 항상믿고구매하는곳이라...ㅋ 가격대비최고죵~~ 싸비스두최공~~,"[3.896052360534668, -0.3754103183746338, -5.511081695556641]"
1,0,15,"[0.11617352068424225, 0.08439849317073822, 0.10465395450592041]",바람이 나는지 잘 모르겠네요,"[5.904036045074463, -3.5230720043182373, -4.448148727416992]"
2,1,48,"[0.14593473076820374, 0.12150713056325912, 0.16695992648601532]",크기도 생각보다 크고요.심이 있어 쪄서 갈아 먹었는데도 안갈린건 입안에서 걸리더라구요.,"[-3.350714921951294, 6.138623237609863, -2.6230335235595703]"
1,0,13,"[0.0789836198091507, 0.06105976179242134, 0.09933718293905258]",선물로보냈는데 잘받았되요,"[4.42570161819458, -1.1061114072799683, -5.366265773773193]"
1,0,16,"[0.08640100061893463, 0.07167670130729675, 0.08824095129966736]",필수입니다 꼭 같이 구매하세요,"[5.883502006530762, -3.5074574947357178, -4.439594745635986]"
2,1,39,"[0.07909409701824188, 0.06834118068218231, 0.10584420710802078]",촉감 너무꺼끌하고 별로예요 시원한지도 잘모르겠고 반품귀찮아서 그냥씁니다,"[1.4467312097549438, 2.6457526683807373, -5.232432842254639]"
1,0,16,"[0.11323205381631851, 0.08244725316762924, 0.09230169653892517]",여유있게 보내주셨네요 잘쓸게요,"[5.869246959686279, -3.464535713195801, -4.490535259246826]"
1,0,16,"[0.08451854437589645, 0.07039190828800201, 0.10097381472587585]",가성비 최고 불도 밝고 이뻐요,"[4.426058769226074, -1.0382106304168701, -5.457981586456299]"
1,0,26,"[0.10738824307918549, 0.07521338015794754, 0.1031627431511879]",여기상품좋다는지인추천에주문해봣는데 꾸준히써볼께요,"[5.806061267852783, -3.5879671573638916, -4.245428562164307]"
2,1,62,"[0.1563919633626938, 0.12181912362575531, 0.15210571885108948]",재구매 회사에서 쓰는거라 자주 주문하고있어요. 좀 빨리 떨어지는거 같긴한데.. 그냥 쓰고 있어요. 배송은 빨라요,"[-3.2762067317962646, 6.143133640289307, -2.6771399974823]"
1,0,19,"[0.10884294658899307, 0.08190609514713287, 0.09678979963064194]",설치도 쉽고 화질도 좋고 넘 좋네요,"[5.774612903594971, -2.835714817047119, -5.0224714279174805]"
2,1,64,"[0.1534270942211151, 0.10081272572278976, 0.17436370253562927]",아기목욕시키는데 잘쓰고 있긴한데 안전바는 잘안쓰게되네요 그리고 세면대에 설치한 시트는 밑에 고정다리가 좀 불안하네요,"[-3.281428575515747, 6.159892559051514, -2.6825640201568604]"
1,0,17,"[0.10061489790678024, 0.08817462623119354, 0.09602202475070953]",재구매 배송빠르고 너무만족해용~,"[5.930217742919922, -3.4126322269439697, -4.593852519989014]"
2,1,22,"[0.14050596952438354, 0.12007202953100204, 0.16173936426639557]",배송도 빠르고 상품도 사진하고 똑같았어요,"[-3.2103710174560547, 6.139161586761475, -2.723315477371216]"
1,0,21,"[0.10453768819570541, 0.07605596631765366, 0.1005638837814331]",무게를많이 지탱을못햎자꾸 내려가네오 ㅠ,"[5.852686882019043, -3.5440778732299805, -4.375181198120117]"
